Original Input,Canonical Name,Is Valid,Requires Review,Review Reason,Clusters,Cluster Names,Domain IDs,Domain Names
Communication,Communication,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Time Management,Time Management,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Emotional Intelligence,Emotional Intelligence,true,false,"",31; 34,Leadership & People Management; Communication & Interpersonal Skills,6,Leadership & Professional Development
People Management,People Management,true,false,"",31,Leadership & People Management,6,Leadership & Professional Development
Collaboration,Collaboration,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Adaptability,Adaptability,true,true,Borderline between a personal trait and a skill,35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Project Management,Project Management,true,false,"",32,Project & Program Management,6,Leadership & Professional Development
Analytical Skills,Analytical Skills,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Problem Solving,Problem Solving,true,false,"",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Leadership,Leadership,true,false,"",31,Leadership & People Management,6,Leadership & Professional Development
English,English,true,false,"",37,Languages & Localization,6,Leadership & Professional Development
Data Analysis,Data Analysis,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Business,Business,false,false,"","","","",""
Interpersonal Skills,Interpersonal Skills,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
Business Development,Business Development,true,false,"",15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Microsoft Excel,Microsoft Excel,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
SQL,SQL,true,false,"",1; 3; 21,"Software Development & Engineering; Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Presentation Skills,Presentation Skills,true,false,"",34,Communication & Interpersonal Skills,6,Leadership & Professional Development
JavaScript,JavaScript,true,false,"",1,Software Development & Engineering,1,Technology & IT
Agile Project Management,Agile Project Management,true,false,"",1; 32,Software Development & Engineering; Project & Program Management,1; 6,Technology & IT; Leadership & Professional Development
Customer Service,Customer Service,true,false,"",19,"Customer Success, Service & Support",3,"Sales, Marketing & Customer Success"
Management,Management,false,true,Too broad or domain-level,"","","",""
Sales,Sales,true,false,"",15,Sales & Business Development,3,"Sales, Marketing & Customer Success"
Finance,Finance,false,true,Too broad or domain-level,"","","",""
Product Management,Product Management,true,false,"",22; 32,Strategy & Business Management; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Written Communication,Written Communication,true,false,"",11; 34,"Content Creation, Writing & Editing; Communication & Interpersonal Skills",2; 6,Design & Creative; Leadership & Professional Development
Microsoft Office,Microsoft Office,true,true,"Broad tool suite, not a single skill",35,Personal Effectiveness & Productivity,6,Leadership & Professional Development
Data Analytics,Data Analytics,true,false,"",3; 21,"Data Science, Analytics & AI; Business Analysis & Intelligence",1; 4,"Technology & IT; Business, Finance & Legal"
Account Management,Account Management,true,false,"",15; 19,"Sales & Business Development; Customer Success, Service & Support",3,"Sales, Marketing & Customer Success"
Negotiation,Negotiation,true,false,"",15; 34,Sales & Business Development; Communication & Interpersonal Skills,3; 6,"Sales, Marketing & Customer Success; Leadership & Professional Development"
Quality Assurance,Quality Assurance,true,true,"Context-dependent (e.g., software vs. manufacturing)",7; 43,Software Quality Assurance; Manufacturing Quality Control,1; 7,"Technology & IT; Engineering, Manufacturing & Supply Chain"
Software Development,Software Development,true,false,"",1,Software Development & Engineering,1,Technology & IT
Strategic Planning,Strategic Planning,true,false,"",22,Strategy & Business Management,4,"Business, Finance & Legal"
Team Leadership,Team Leadership,true,false,"",31,Leadership & People Management,6,Leadership & Professional Development
Design,Design,false,true,Too broad or domain-level,"","","",""
Budgeting,Budgeting,true,false,"",20; 32,Finance & Accounting; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
C#,C#,true,false,"",1,Software Development & Engineering,1,Technology & IT
Change Management,Change Management,true,false,"",22; 32,Strategy & Business Management; Project & Program Management,4; 6,"Business, Finance & Legal; Leadership & Professional Development"
Accounting,Accounting,true,false,"",20,Finance & Accounting,4,"Business, Finance & Legal"
